lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.025,2025-02-11 05:55:07.405866,,,,,,,,,,,,,,
,2025-02-11 05:55:07.724666,0.023316876962780952,8.573140075895935e-05,0.023316876962780952,49.0,0.0,,,,,,,,,
0.025,2025-02-11 05:55:21.593568,,,,,,,,,,,,,,
,2025-02-11 05:55:22.710422,0.28362247347831726,0.018190639093518257,0.28362247347831726,99.0,0.0,,,,,,,,,
,2025-02-11 05:55:23.394570,,,,,0.0,0.08535503596067429,0.00029136607190594077,0.08535503596067429,0.12062039971351624,0.0005390867008827627,0.12062039971351624,,,
,2025-02-11 05:55:23.417806,,,,,0.0,,,,,,,0.15295866131782532,0.002443659584969282,0.15295866131782532
0.025,2025-02-11 05:55:37.701522,,,,,,,,,,,,,,
,2025-02-11 05:55:37.980042,0.13937775790691376,0.0007924733799882233,0.13937775790691376,149.0,1.0,,,,,,,,,
0.025,2025-02-11 05:55:51.867229,,,,,,,,,,,,,,
,2025-02-11 05:55:53.811570,0.10617636889219284,0.00036680183256976306,0.10617636889219284,199.0,1.0,,,,,,,,,
,2025-02-11 05:55:54.518326,,,,,1.0,0.08558626472949982,0.0003783140564337373,0.08558626472949982,0.1615753173828125,0.0008465984719805419,0.1615753173828125,,,
,2025-02-11 05:55:54.529273,,,,,1.0,,,,,,,0.1469358652830124,0.0038639300037175417,0.1469358652830124
0.025,2025-02-11 05:56:08.714644,,,,,,,,,,,,,,
,2025-02-11 05:56:08.997276,0.07301080226898193,0.0003679333021864295,0.07301080226898193,249.0,2.0,,,,,,,,,
0.025,2025-02-11 05:56:23.241373,,,,,,,,,,,,,,
,2025-02-11 05:56:24.395809,0.10667423158884048,0.00038520433008670807,0.10667423158884048,299.0,2.0,,,,,,,,,
,2025-02-11 05:56:25.131325,,,,,2.0,0.1487421989440918,0.0005391929298639297,0.1487421989440918,0.09833838790655136,0.0006608718540519476,0.09833838790655136,,,
,2025-02-11 05:56:25.142852,,,,,2.0,,,,,,,0.12633654475212097,0.0029498727526515722,0.12633654475212097
0.025,2025-02-11 05:56:39.470960,,,,,,,,,,,,,,
,2025-02-11 05:56:39.752545,0.10901734977960587,0.00043286988511681557,0.10901734977960587,349.0,3.0,,,,,,,,,
0.025,2025-02-11 05:56:53.806633,,,,,,,,,,,,,,
,2025-02-11 05:56:55.752748,0.0669555515050888,0.00024239458434749395,0.0669555515050888,399.0,3.0,,,,,,,,,
,2025-02-11 05:56:56.508555,,,,,3.0,0.28369954228401184,0.002433671848848462,0.28369954228401184,0.3801368474960327,0.005774572025984526,0.3801368474960327,,,
,2025-02-11 05:56:56.520088,,,,,3.0,,,,,,,0.1467544138431549,0.0018634027801454067,0.1467544138431549
0.025,2025-02-11 05:57:10.966488,,,,,,,,,,,,,,
,2025-02-11 05:57:11.249114,0.11442532390356064,0.0005184717592783272,0.11442532390356064,449.0,4.0,,,,,,,,,
0.025,2025-02-11 05:57:25.470463,,,,,,,,,,,,,,
,2025-02-11 05:57:26.543715,0.10587426275014877,0.0005409903824329376,0.10587426275014877,499.0,4.0,,,,,,,,,
,2025-02-11 05:57:27.252954,,,,,4.0,0.1841990053653717,0.0008419816731475294,0.1841990053653717,0.05586348474025726,0.00022580318909604102,0.05586348474025726,,,
