lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.025,2025-02-12 05:39:59.024494,,,,,,,,,,,,,,
,2025-02-12 05:39:59.314714,0.03828436881303787,0.00013954078895039856,0.03828436881303787,49.0,0.0,,,,,,,,,
0.025,2025-02-12 05:40:13.772606,,,,,,,,,,,,,,
,2025-02-12 05:40:14.835021,0.3400314152240753,0.019344618543982506,0.3400314152240753,99.0,0.0,,,,,,,,,
,2025-02-12 05:40:15.560198,,,,,0.0,0.13705675303936005,0.00046834370004944503,0.13705675303936005,0.19193442165851593,0.0008524393779225647,0.19193442165851593,,,
,2025-02-12 05:40:15.570675,,,,,0.0,,,,,,,0.20470203459262848,0.0028022867627441883,0.20470203459262848
0.025,2025-02-12 05:40:29.525486,,,,,,,,,,,,,,
,2025-02-12 05:40:29.801191,0.20015469193458557,0.0011375810718163848,0.20015469193458557,149.0,1.0,,,,,,,,,
0.025,2025-02-12 05:40:44.001036,,,,,,,,,,,,,,
,2025-02-12 05:40:45.899104,0.15653200447559357,0.0005410008016042411,0.15653200447559357,199.0,1.0,,,,,,,,,
,2025-02-12 05:40:46.615601,,,,,1.0,0.1251932829618454,0.0005420203669928014,0.1251932829618454,0.22713734209537506,0.0011804687092080712,0.22713734209537506,,,
,2025-02-12 05:40:46.626482,,,,,1.0,,,,,,,0.19903260469436646,0.004233058076351881,0.19903260469436646
