lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.025,2025-02-11 05:55:35.211517,,,,,,,,,,,,,,
,2025-02-11 05:55:35.492025,0.030617160722613335,0.0001120068845921196,0.030617160722613335,49.0,0.0,,,,,,,,,
0.025,2025-02-11 05:55:49.562366,,,,,,,,,,,,,,
,2025-02-11 05:55:50.698701,0.30282890796661377,0.019222909584641457,0.30282890796661377,99.0,0.0,,,,,,,,,
,2025-02-11 05:55:51.482010,,,,,0.0,0.09271200001239777,0.00031655930797569454,0.09271200001239777,0.14924243092536926,0.0006739310920238495,0.14924243092536926,,,
,2025-02-11 05:55:51.492939,,,,,0.0,,,,,,,0.1609572470188141,0.0024848750326782465,0.1609572470188141
0.025,2025-02-11 05:56:06.981651,,,,,,,,,,,,,,
,2025-02-11 05:56:07.268843,0.1531318873167038,0.0008867051801644266,0.1531318873167038,149.0,1.0,,,,,,,,,
0.025,2025-02-11 05:56:22.391237,,,,,,,,,,,,,,
,2025-02-11 05:56:24.368382,0.12028568238019943,0.00041590220644138753,0.12028568238019943,199.0,1.0,,,,,,,,,
,2025-02-11 05:56:25.173680,,,,,1.0,0.08977039903402328,0.000388638349249959,0.08977039903402328,0.1717461347579956,0.0009018020937219262,0.1717461347579956,,,
,2025-02-11 05:56:25.184660,,,,,1.0,,,,,,,0.15629607439041138,0.003945022355765104,0.15629607439041138
0.025,2025-02-11 05:56:40.595594,,,,,,,,,,,,,,
,2025-02-11 05:56:40.905637,0.07582049071788788,0.00038229598430916667,0.07582049071788788,249.0,2.0,,,,,,,,,
0.025,2025-02-11 05:56:56.153835,,,,,,,,,,,,,,
,2025-02-11 05:56:57.282142,0.1051427349448204,0.0003805635205935687,0.1051427349448204,299.0,2.0,,,,,,,,,
,2025-02-11 05:56:58.067093,,,,,2.0,0.1794070452451706,0.0006509171798825264,0.1794070452451706,0.10210347175598145,0.0006822799914516509,0.10210347175598145,,,
,2025-02-11 05:56:58.078360,,,,,2.0,,,,,,,0.13460221886634827,0.0029910302255302668,0.13460221886634827
0.025,2025-02-11 05:57:14.043706,,,,,,,,,,,,,,
,2025-02-11 05:57:14.352632,0.10594818741083145,0.0004199464456178248,0.10594818741083145,349.0,3.0,,,,,,,,,
