lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.025,2025-02-11 05:03:46.457209,,,,,,,,,,,,,,
,2025-02-11 05:03:46.731186,0.03633296862244606,0.00013443267380353063,0.03633296862244606,49.0,0.0,,,,,,,,,
0.025,2025-02-11 05:04:01.044745,,,,,,,,,,,,,,
,2025-02-11 05:04:02.104960,0.3256780207157135,0.019591469317674637,0.3256780207157135,99.0,0.0,,,,,,,,,
,2025-02-11 05:04:02.781610,,,,,0.0,0.12220854312181473,0.00041717078420333564,0.12220854312181473,0.17362980544567108,0.0007767670904286206,0.17362980544567108,,,
,2025-02-11 05:04:02.792033,,,,,0.0,,,,,,,0.1889612227678299,0.0026998845860362053,0.1889612227678299
0.025,2025-02-11 05:04:16.890762,,,,,,,,,,,,,,
,2025-02-11 05:04:17.180728,0.1765802651643753,0.0010132695315405726,0.1765802651643753,149.0,1.0,,,,,,,,,
0.025,2025-02-11 05:04:31.393216,,,,,,,,,,,,,,
,2025-02-11 05:04:33.239453,0.1514466255903244,0.0005221154424361885,0.1514466255903244,199.0,1.0,,,,,,,,,
,2025-02-11 05:04:33.949795,,,,,1.0,0.11277301609516144,0.0004888460971415043,0.11277301609516144,0.2208036482334137,0.0011555617675185204,0.2208036482334137,,,
,2025-02-11 05:04:33.961437,,,,,1.0,,,,,,,0.18426035344600677,0.004147073719650507,0.18426035344600677
0.025,2025-02-11 05:04:48.554279,,,,,,,,,,,,,,
,2025-02-11 05:04:48.845846,0.08820348232984543,0.00044532609172165394,0.08820348232984543,249.0,2.0,,,,,,,,,
0.025,2025-02-11 05:05:02.906411,,,,,,,,,,,,,,
,2025-02-11 05:05:03.964430,0.14260566234588623,0.0005145586328580976,0.14260566234588623,299.0,2.0,,,,,,,,,
,2025-02-11 05:05:04.673876,,,,,2.0,0.2153404951095581,0.0007810399984009564,0.2153404951095581,0.12041425704956055,0.000803611648734659,0.12041425704956055,,,
,2025-02-11 05:05:04.685350,,,,,2.0,,,,,,,0.16129329800605774,0.0031540081836283207,0.16129329800605774
0.025,2025-02-11 05:05:18.732016,,,,,,,,,,,,,,
,2025-02-11 05:05:19.010662,0.14459024369716644,0.0005736416205763817,0.14459024369716644,349.0,3.0,,,,,,,,,
0.025,2025-02-11 05:05:32.937669,,,,,,,,,,,,,,
,2025-02-11 05:05:34.756787,0.09398889541625977,0.00034067282103933394,0.09398889541625977,399.0,3.0,,,,,,,,,
,2025-02-11 05:05:35.457704,,,,,3.0,0.3350978195667267,0.002767591504380107,0.3350978195667267,0.4223625659942627,0.006338624749332666,0.4223625659942627,,,
,2025-02-11 05:05:35.468689,,,,,3.0,,,,,,,0.18331052362918854,0.0020897637587040663,0.18331052362918854
0.025,2025-02-11 05:05:49.600993,,,,,,,,,,,,,,
,2025-02-11 05:05:49.879417,0.143446683883667,0.0006437395932152867,0.143446683883667,449.0,4.0,,,,,,,,,
0.025,2025-02-11 05:06:03.802296,,,,,,,,,,,,,,
,2025-02-11 05:06:04.854900,0.13369648158550262,0.0006681628874503076,0.13369648158550262,499.0,4.0,,,,,,,,,
,2025-02-11 05:06:05.562789,,,,,4.0,0.22552606463432312,0.0010163553524762392,0.22552606463432312,0.07156317681074142,0.000290141993900761,0.07156317681074142,,,
,2025-02-11 05:06:05.573764,,,,,4.0,,,,,,,0.16537684202194214,0.002531108446419239,0.16537684202194214
0.025,2025-02-11 05:07:03.595434,,,,,,,,,,,,,,
,2025-02-11 05:07:03.878565,0.15149614214897156,0.0009619886986911297,0.15149614214897156,549.0,5.0,,,,,,,,,
0.025,2025-02-11 05:07:17.968459,,,,,,,,,,,,,,
,2025-02-11 05:07:19.790253,0.0711432620882988,0.0002432326291454956,0.0711432620882988,599.0,5.0,,,,,,,,,
,2025-02-11 05:07:20.490001,,,,,5.0,0.1441085785627365,0.0005691951373592019,0.1441085785627365,0.22889381647109985,0.001807494438253343,0.22889381647109985,,,
,2025-02-11 05:07:20.501007,,,,,5.0,,,,,,,0.18454842269420624,0.0030917730182409286,0.18454842269420624
0.025,2025-02-11 05:07:34.779058,,,,,,,,,,,,,,
,2025-02-11 05:07:35.058864,0.24337975680828094,0.0016461104387417436,0.24337975680828094,649.0,6.0,,,,,,,,,
0.025,2025-02-11 05:07:48.918388,,,,,,,,,,,,,,
,2025-02-11 05:07:49.969952,0.06695517897605896,0.0002279065374750644,0.06695517897605896,699.0,6.0,,,,,,,,,
,2025-02-11 05:07:50.666290,,,,,6.0,0.3197706639766693,0.004139598924666643,0.3197706639766693,0.03993987664580345,0.00014131217903923243,0.03993987664580345,,,
,2025-02-11 05:07:50.677613,,,,,6.0,,,,,,,0.19869786500930786,0.006658254191279411,0.19869786500930786
0.025,2025-02-11 05:08:04.718302,,,,,,,,,,,,,,
,2025-02-11 05:08:04.998219,0.26285016536712646,0.003716431325301528,0.26285016536712646,749.0,7.0,,,,,,,,,
0.025,2025-02-11 05:08:18.912884,,,,,,,,,,,,,,
,2025-02-11 05:08:20.724525,0.09735358506441116,0.0003899315488524735,0.09735358506441116,799.0,7.0,,,,,,,,,
,2025-02-11 05:08:21.415146,,,,,7.0,0.009282772429287434,4.3801552237709984e-05,0.009282772429287434,0.3926055431365967,0.0040486715734004974,0.3926055431365967,,,
,2025-02-11 05:08:21.426554,,,,,7.0,,,,,,,0.18340297043323517,0.0027418904937803745,0.18340297043323517
0.025,2025-02-11 05:08:35.430577,,,,,,,,,,,,,,
,2025-02-11 05:08:35.710475,0.04992832988500595,0.0001755700068315491,0.04992832988500595,849.0,8.0,,,,,,,,,
0.025,2025-02-11 05:08:49.636533,,,,,,,,,,,,,,
,2025-02-11 05:08:50.687642,0.15521864593029022,0.0006473289104178548,0.15521864593029022,899.0,8.0,,,,,,,,,
,2025-02-11 05:08:51.392000,,,,,8.0,0.065068319439888,0.0002222253242507577,0.065068319439888,0.2654848098754883,0.0012031975202262402,0.2654848098754883,,,
,2025-02-11 05:08:51.403514,,,,,8.0,,,,,,,0.17893075942993164,0.002743745455518365,0.17893075942993164
0.025,2025-02-11 05:09:05.469931,,,,,,,,,,,,,,
,2025-02-11 05:09:05.749370,0.23762087523937225,0.0026648491621017456,0.23762087523937225,949.0,9.0,,,,,,,,,
0.025,2025-02-11 05:09:19.809853,,,,,,,,,,,,,,
,2025-02-11 05:09:20.901994,0.23217184841632843,0.0009908325737342238,0.23217184841632843,999.0,9.0,,,,,,,,,
,2025-02-11 05:09:21.661633,,,,,9.0,0.16846716403961182,0.0009445889736525714,0.16846716403961182,0.362298846244812,0.0029535715002566576,0.362298846244812,,,
,2025-02-11 05:09:21.678188,,,,,9.0,,,,,,,0.17139944434165955,0.0025374453980475664,0.17139944434165955
0.025,2025-02-11 05:10:17.203458,,,,,,,,,,,,,,
,2025-02-11 05:10:17.484987,0.22902177274227142,0.0195290669798851,0.22902177274227142,1049.0,10.0,,,,,,,,,
0.025,2025-02-11 05:10:31.651639,,,,,,,,,,,,,,
,2025-02-11 05:10:32.722645,0.0834759771823883,0.0003009876236319542,0.0834759771823883,1099.0,10.0,,,,,,,,,
,2025-02-11 05:10:33.427649,,,,,10.0,0.11978801339864731,0.0005022885161451995,0.11978801339864731,0.37617966532707214,0.09688688069581985,0.37617966532707214,,,
,2025-02-11 05:10:33.799465,,,,,10.0,,,,,,,0.17861579358577728,0.004995416384190321,0.17861579358577728
0.025,2025-02-11 05:10:48.298072,,,,,,,,,,,,,,
,2025-02-11 05:10:48.579676,0.2452680915594101,0.0012609570985659957,0.2452680915594101,1149.0,11.0,,,,,,,,,
0.025,2025-02-11 05:11:02.661233,,,,,,,,,,,,,,
,2025-02-11 05:11:03.713548,0.19125621020793915,0.0013209048192948103,0.19125621020793915,1199.0,11.0,,,,,,,,,
,2025-02-11 05:11:04.434345,,,,,11.0,0.11098887771368027,0.0003999758046120405,0.11098887771368027,0.11463891714811325,0.0003849398053716868,0.11463891714811325,,,
,2025-02-11 05:11:04.446918,,,,,11.0,,,,,,,0.17815449833869934,0.0019821268506348133,0.17815449833869934
0.025,2025-02-11 05:11:18.465744,,,,,,,,,,,,,,
,2025-02-11 05:11:18.745784,0.07194305956363678,0.000272478413535282,0.07194305956363678,1249.0,12.0,,,,,,,,,
0.025,2025-02-11 05:11:32.672610,,,,,,,,,,,,,,
,2025-02-11 05:11:33.722169,0.2487647980451584,0.0017388742417097092,0.2487647980451584,1299.0,12.0,,,,,,,,,
,2025-02-11 05:11:34.412926,,,,,12.0,0.051656242460012436,0.0001785242056939751,0.051656242460012436,0.09194981306791306,0.00032964625279419124,0.09194981306791306,,,
,2025-02-11 05:11:34.424835,,,,,12.0,,,,,,,0.18432660400867462,0.0026431623846292496,0.18432660400867462
0.025,2025-02-11 05:11:48.470129,,,,,,,,,,,,,,
,2025-02-11 05:11:48.750152,0.3589722216129303,0.002129396190866828,0.3589722216129303,1349.0,13.0,,,,,,,,,
0.025,2025-02-11 05:12:02.955252,,,,,,,,,,,,,,
,2025-02-11 05:12:04.022060,0.05377602204680443,0.00019408660591579974,0.05377602204680443,1399.0,13.0,,,,,,,,,
,2025-02-11 05:12:04.741550,,,,,13.0,0.2328042984008789,0.0012232462177053094,0.2328042984008789,0.0378454215824604,0.0001346142089460045,0.0378454215824604,,,
,2025-02-11 05:12:04.754483,,,,,13.0,,,,,,,0.1804571896791458,0.0035024743992835283,0.1804571896791458
0.025,2025-02-11 05:12:18.973222,,,,,,,,,,,,,,
,2025-02-11 05:12:19.255239,0.07616463303565979,0.00027199790929444134,0.07616463303565979,1449.0,14.0,,,,,,,,,
0.025,2025-02-11 05:12:33.299692,,,,,,,,,,,,,,
,2025-02-11 05:12:35.118936,0.060025107115507126,0.00020924089767504483,0.060025107115507126,1499.0,14.0,,,,,,,,,
,2025-02-11 05:12:35.799247,,,,,14.0,0.22528234124183655,0.001065461547113955,0.22528234124183655,0.30048418045043945,0.005182319786399603,0.30048418045043945,,,
,2025-02-11 05:12:35.952285,,,,,14.0,,,,,,,0.18176904320716858,0.0017943946877494454,0.18176904320716858
0.025,2025-02-11 05:13:30.343291,,,,,,,,,,,,,,
,2025-02-11 05:13:30.635857,0.14777450263500214,0.0006686237757094204,0.14777450263500214,1549.0,15.0,,,,,,,,,
0.025,2025-02-11 05:13:45.063528,,,,,,,,,,,,,,
,2025-02-11 05:13:46.147226,0.34560808539390564,0.0038967523723840714,0.34560808539390564,1599.0,15.0,,,,,,,,,
,2025-02-11 05:13:46.847022,,,,,15.0,0.2542282044887543,0.0012546149082481861,0.2542282044887543,0.26289600133895874,0.0019508072873577476,0.26289600133895874,,,
,2025-02-11 05:13:46.860184,,,,,15.0,,,,,,,0.1987231969833374,0.006549297831952572,0.1987231969833374
0.025,2025-02-11 05:14:01.268591,,,,,,,,,,,,,,
,2025-02-11 05:14:01.554448,0.31258782744407654,0.00449193874374032,0.31258782744407654,1649.0,16.0,,,,,,,,,
0.025,2025-02-11 05:14:16.328773,,,,,,,,,,,,,,
,2025-02-11 05:14:17.424405,0.15134042501449585,0.0009575666044838727,0.15134042501449585,1699.0,16.0,,,,,,,,,
,2025-02-11 05:14:18.111102,,,,,16.0,0.08338422328233719,0.00030301904189400375,0.08338422328233719,0.10319774597883224,0.0003646822879090905,0.10319774597883224,,,
,2025-02-11 05:14:18.123662,,,,,16.0,,,,,,,0.1766820102930069,0.002439768984913826,0.1766820102930069
