lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.025,2025-02-08 07:16:28.196685,,,,,,,,,,,,,,
,2025-02-08 07:16:28.472313,0.04854970425367355,0.00017854318139143288,0.04854970425367355,49.0,0.0,,,,,,,,,
0.025,2025-02-08 07:16:42.233610,,,,,,,,,,,,,,
,2025-02-08 07:16:42.510412,0.334416002035141,0.019373860210180283,0.334416002035141,99.0,0.0,,,,,,,,,
,2025-02-08 07:16:43.267192,,,,,0.0,0.1459057778120041,0.0004975572810508311,0.1459057778120041,0.19937054812908173,0.000874077610205859,0.19937054812908173,,,
,2025-02-08 07:16:43.277454,,,,,0.0,,,,,,,0.19977276027202606,0.0026693514082580805,0.19977276027202606
0.025,2025-02-08 07:16:57.226370,,,,,,,,,,,,,,
,2025-02-08 07:16:57.501625,0.18635834753513336,0.001063562580384314,0.18635834753513336,149.0,1.0,,,,,,,,,
0.025,2025-02-08 07:17:11.953328,,,,,,,,,,,,,,
,2025-02-08 07:17:12.243816,0.17032413184642792,0.0005869747838005424,0.17032413184642792,199.0,1.0,,,,,,,,,
,2025-02-08 07:17:12.972859,,,,,1.0,0.12660178542137146,0.0005450085154734552,0.12660178542137146,0.2219562977552414,0.0011494955979287624,0.2219562977552414,,,
,2025-02-08 07:17:12.984130,,,,,1.0,,,,,,,0.19478952884674072,0.004145579878240824,0.19478952884674072
0.025,2025-02-08 07:17:27.788098,,,,,,,,,,,,,,
,2025-02-08 07:17:28.065532,0.09188520908355713,0.0004636839439626783,0.09188520908355713,249.0,2.0,,,,,,,,,
0.025,2025-02-08 07:17:42.101742,,,,,,,,,,,,,,
,2025-02-08 07:17:42.544244,0.15581011772155762,0.00056247174507007,0.15581011772155762,299.0,2.0,,,,,,,,,
,2025-02-08 07:17:43.685343,,,,,2.0,0.24173997342586517,0.0008758589974604547,0.24173997342586517,0.10994761437177658,0.0007248275796882808,0.10994761437177658,,,
,2025-02-08 07:17:43.698652,,,,,2.0,,,,,,,0.1727503389120102,0.003168006893247366,0.1727503389120102
0.025,2025-02-08 07:17:58.366052,,,,,,,,,,,,,,
,2025-02-08 07:17:58.644946,0.1602831333875656,0.0006307473522610962,0.1602831333875656,349.0,3.0,,,,,,,,,
0.025,2025-02-08 07:18:12.529427,,,,,,,,,,,,,,
,2025-02-08 07:18:12.811607,0.10891201347112656,0.00039268998079933226,0.10891201347112656,399.0,3.0,,,,,,,,,
,2025-02-08 07:18:13.533159,,,,,3.0,0.3260580897331238,0.0026487407740205526,0.3260580897331238,0.40084537863731384,0.005951305385679007,0.40084537863731384,,,
,2025-02-08 07:18:13.544500,,,,,3.0,,,,,,,0.1943606734275818,0.0020977631211280823,0.1943606734275818
0.025,2025-02-08 07:18:27.797179,,,,,,,,,,,,,,
,2025-02-08 07:18:28.078630,0.15498808026313782,0.0006935756537131965,0.15498808026313782,449.0,4.0,,,,,,,,,
0.025,2025-02-08 07:18:42.308246,,,,,,,,,,,,,,
,2025-02-08 07:18:44.129569,0.14062921702861786,0.0006898787687532604,0.14062921702861786,499.0,4.0,,,,,,,,,
,2025-02-08 07:18:44.877097,,,,,4.0,0.24715720117092133,0.0010995606426149607,0.24715720117092133,0.0797637328505516,0.0003240334626752883,0.0797637328505516,,,
,2025-02-08 07:18:44.888186,,,,,4.0,,,,,,,0.17747430503368378,0.002562589943408966,0.17747430503368378
0.025,2025-02-08 07:19:43.163047,,,,,,,,,,,,,,
,2025-02-08 07:19:43.448241,0.15975432097911835,0.0010044400114566088,0.15975432097911835,549.0,5.0,,,,,,,,,
0.025,2025-02-08 07:19:57.488101,,,,,,,,,,,,,,
,2025-02-08 07:19:57.768560,0.08768950402736664,0.00030026352033019066,0.08768950402736664,599.0,5.0,,,,,,,,,
,2025-02-08 07:19:58.481838,,,,,5.0,0.1480257660150528,0.0005831084563396871,0.1480257660150528,0.24706529080867767,0.0018819243414327502,0.24706529080867767,,,
,2025-02-08 07:19:58.493180,,,,,5.0,,,,,,,0.19665350019931793,0.0031080858316272497,0.19665350019931793
0.025,2025-02-08 07:20:12.649629,,,,,,,,,,,,,,
,2025-02-08 07:20:12.932708,0.24596400558948517,0.001578903989866376,0.24596400558948517,649.0,6.0,,,,,,,,,
0.025,2025-02-08 07:20:26.990109,,,,,,,,,,,,,,
,2025-02-08 07:20:27.272019,0.08304866403341293,0.00028279563412070274,0.08304866403341293,699.0,6.0,,,,,,,,,
,2025-02-08 07:20:27.984971,,,,,6.0,0.3313014507293701,0.004160690121352673,0.3313014507293701,0.050688792020082474,0.00017905606364365667,0.050688792020082474,,,
,2025-02-08 07:20:27.996593,,,,,6.0,,,,,,,0.20874644815921783,0.006637952756136656,0.20874644815921783
0.025,2025-02-08 07:20:42.332438,,,,,,,,,,,,,,
,2025-02-08 07:20:42.616124,0.27858999371528625,0.003904426470398903,0.27858999371528625,749.0,7.0,,,,,,,,,
0.025,2025-02-08 07:20:57.427035,,,,,,,,,,,,,,
,2025-02-08 07:20:57.709937,0.11004769802093506,0.00043833223753608763,0.11004769802093506,799.0,7.0,,,,,,,,,
,2025-02-08 07:20:58.413449,,,,,7.0,0.013070927001535892,6.162818317534402e-05,0.013070927001535892,0.39510577917099,0.004050860181450844,0.39510577917099,,,
,2025-02-08 07:20:58.424140,,,,,7.0,,,,,,,0.19353538751602173,0.002743164775893092,0.19353538751602173
0.025,2025-02-08 07:21:12.545509,,,,,,,,,,,,,,
,2025-02-08 07:21:12.828717,0.05809224396944046,0.0002054050419246778,0.05809224396944046,849.0,8.0,,,,,,,,,
0.025,2025-02-08 07:21:27.764087,,,,,,,,,,,,,,
,2025-02-08 07:21:28.043222,0.1807345449924469,0.0007424534414894879,0.1807345449924469,899.0,8.0,,,,,,,,,
,2025-02-08 07:21:28.791759,,,,,8.0,0.080560602247715,0.0002764532109722495,0.080560602247715,0.2648836374282837,0.0011846425477415323,0.2648836374282837,,,
,2025-02-08 07:21:28.805789,,,,,8.0,,,,,,,0.19001826643943787,0.002747825812548399,0.19001826643943787
0.025,2025-02-08 07:21:43.017584,,,,,,,,,,,,,,
,2025-02-08 07:21:43.298258,0.23829355835914612,0.002573627745732665,0.23829355835914612,949.0,9.0,,,,,,,,,
0.025,2025-02-08 07:21:57.389540,,,,,,,,,,,,,,
,2025-02-08 07:21:59.229645,0.24382343888282776,0.0010303858434781432,0.24382343888282776,999.0,9.0,,,,,,,,,
,2025-02-08 07:21:59.937160,,,,,9.0,0.17775177955627441,0.0009515038109384477,0.17775177955627441,0.3503904342651367,0.0027639379259198904,0.3503904342651367,,,
,2025-02-08 07:21:59.950520,,,,,9.0,,,,,,,0.18357661366462708,0.0025442950427532196,0.18357661366462708
