lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.025,2025-02-11 05:53:47.348440,,,,,,,,,,,,,,
,2025-02-11 05:53:47.639298,0.03190304711461067,0.0001168660819530487,0.03190304711461067,49.0,0.0,,,,,,,,,
0.025,2025-02-11 05:54:02.076845,,,,,,,,,,,,,,
,2025-02-11 05:54:03.150230,0.29940834641456604,0.019336465746164322,0.29940834641456604,99.0,0.0,,,,,,,,,
,2025-02-11 05:54:03.896562,,,,,0.0,0.0969499871134758,0.00033100516884587705,0.0969499871134758,0.15134058892726898,0.0006938541191630065,0.15134058892726898,,,
,2025-02-11 05:54:03.914768,,,,,0.0,,,,,,,0.16762396693229675,0.00254239933565259,0.16762396693229675
0.025,2025-02-11 05:54:19.131272,,,,,,,,,,,,,,
,2025-02-11 05:54:19.410375,0.16275915503501892,0.0009576978045515716,0.16275915503501892,149.0,1.0,,,,,,,,,
0.025,2025-02-11 05:54:34.763325,,,,,,,,,,,,,,
,2025-02-11 05:54:36.739936,0.1113140732049942,0.000384675309760496,0.1113140732049942,199.0,1.0,,,,,,,,,
,2025-02-11 05:54:37.410724,,,,,1.0,0.0913451611995697,0.00039388868026435375,0.0913451611995697,0.18615125119686127,0.0009910736698657274,0.18615125119686127,,,
,2025-02-11 05:54:37.421258,,,,,1.0,,,,,,,0.16174250841140747,0.0039692954160273075,0.16174250841140747
0.025,2025-02-11 05:54:51.985285,,,,,,,,,,,,,,
,2025-02-11 05:54:52.275550,0.07058780640363693,0.00035609593032859266,0.07058780640363693,249.0,2.0,,,,,,,,,
0.025,2025-02-11 05:55:08.353316,,,,,,,,,,,,,,
,2025-02-11 05:55:09.632602,0.11408286541700363,0.00041073141619563103,0.11408286541700363,299.0,2.0,,,,,,,,,
,2025-02-11 05:55:10.384455,,,,,2.0,0.1826225072145462,0.0006614239537157118,0.1826225072145462,0.10703271627426147,0.0007148644072003663,0.10703271627426147,,,
,2025-02-11 05:55:10.398411,,,,,2.0,,,,,,,0.14009211957454681,0.0030214039143174887,0.14009211957454681
0.025,2025-02-11 05:55:25.247902,,,,,,,,,,,,,,
,2025-02-11 05:55:25.548465,0.12240858376026154,0.00048344777314923704,0.12240858376026154,349.0,3.0,,,,,,,,,
0.025,2025-02-11 05:55:40.131077,,,,,,,,,,,,,,
,2025-02-11 05:55:42.141588,0.0768982544541359,0.0002780177746899426,0.0768982544541359,399.0,3.0,,,,,,,,,
,2025-02-11 05:55:42.832579,,,,,3.0,0.2872287929058075,0.0023431037552654743,0.2872287929058075,0.3787252902984619,0.005733630154281855,0.3787252902984619,,,
,2025-02-11 05:55:42.946384,,,,,3.0,,,,,,,0.16081133484840393,0.001939865993335843,0.16081133484840393
0.025,2025-02-11 05:55:58.402906,,,,,,,,,,,,,,
,2025-02-11 05:55:58.718599,0.1166486144065857,0.0005207706708461046,0.1166486144065857,449.0,4.0,,,,,,,,,
0.025,2025-02-11 05:56:14.074074,,,,,,,,,,,,,,
,2025-02-11 05:56:15.234469,0.10975933074951172,0.0005478376988321543,0.10975933074951172,499.0,4.0,,,,,,,,,
,2025-02-11 05:56:15.919194,,,,,4.0,0.18778899312019348,0.0008452566689811647,0.18778899312019348,0.05669056624174118,0.00022956782777328044,0.05669056624174118,,,
,2025-02-11 05:56:15.930139,,,,,4.0,,,,,,,0.1442112922668457,0.002390684327110648,0.1442112922668457
0.025,2025-02-11 05:57:19.865770,,,,,,,,,,,,,,
,2025-02-11 05:57:20.190260,0.14134210348129272,0.0009169354452751577,0.14134210348129272,549.0,5.0,,,,,,,,,
0.025,2025-02-11 05:57:36.632001,,,,,,,,,,,,,,
