lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.025,2025-02-11 05:11:09.678780,,,,,,,,,,,,,,
,2025-02-11 05:11:09.958505,0.040175408124923706,0.00014965991431381553,0.040175408124923706,49.0,0.0,,,,,,,,,
0.025,2025-02-11 05:11:24.120999,,,,,,,,,,,,,,
,2025-02-11 05:11:25.182742,0.3235240876674652,0.01939799077808857,0.3235240876674652,99.0,0.0,,,,,,,,,
,2025-02-11 05:11:25.745785,,,,,0.0,0.12622955441474915,0.00043058983283117414,0.12622955441474915,0.18489614129066467,0.0008310857228934765,0.18489614129066467,,,
,2025-02-11 05:11:25.756027,,,,,0.0,,,,,,,0.19595731794834137,0.002732205204665661,0.19595731794834137
0.025,2025-02-11 05:11:40.039246,,,,,,,,,,,,,,
,2025-02-11 05:11:40.327671,0.1836770623922348,0.0010601063258945942,0.1836770623922348,149.0,1.0,,,,,,,,,
0.025,2025-02-11 05:11:54.822819,,,,,,,,,,,,,,
,2025-02-11 05:11:56.653306,0.16096609830856323,0.0005540240672416985,0.16096609830856323,199.0,1.0,,,,,,,,,
,2025-02-11 05:11:57.227132,,,,,1.0,0.11591440439224243,0.0004974882467649877,0.11591440439224243,0.22879748046398163,0.0012013567611575127,0.22879748046398163,,,
,2025-02-11 05:11:57.237975,,,,,1.0,,,,,,,0.1900305300951004,0.00416668551042676,0.1900305300951004
0.025,2025-02-11 05:12:11.621886,,,,,,,,,,,,,,
,2025-02-11 05:12:11.901299,0.08870464563369751,0.0004478852788452059,0.08870464563369751,249.0,2.0,,,,,,,,,
0.025,2025-02-11 05:12:26.621643,,,,,,,,,,,,,,
,2025-02-11 05:12:27.678216,0.148673415184021,0.0005365151446312666,0.148673415184021,299.0,2.0,,,,,,,,,
,2025-02-11 05:12:28.245499,,,,,2.0,0.2224254161119461,0.0008063521236181259,0.2224254161119461,0.12349078804254532,0.0008169470238499343,0.12349078804254532,,,
,2025-02-11 05:12:28.256386,,,,,2.0,,,,,,,0.16795426607131958,0.0031858093570917845,0.16795426607131958
0.025,2025-02-11 05:12:42.871006,,,,,,,,,,,,,,
,2025-02-11 05:12:43.158272,0.15790946781635284,0.0006260101799853146,0.15790946781635284,349.0,3.0,,,,,,,,,
0.025,2025-02-11 05:12:57.786711,,,,,,,,,,,,,,
,2025-02-11 05:12:59.603165,0.10333245992660522,0.0003756899677682668,0.10333245992660522,399.0,3.0,,,,,,,,,
,2025-02-11 05:13:00.177098,,,,,3.0,0.33583173155784607,0.002742470009252429,0.33583173155784607,0.4285601079463959,0.006406120490282774,0.4285601079463959,,,
,2025-02-11 05:13:00.188030,,,,,3.0,,,,,,,0.18987517058849335,0.00212338799610734,0.18987517058849335
0.025,2025-02-11 05:13:14.971730,,,,,,,,,,,,,,
,2025-02-11 05:13:15.269098,0.15494175255298615,0.0006888654897920787,0.15494175255298615,449.0,4.0,,,,,,,,,
0.025,2025-02-11 05:13:30.092986,,,,,,,,,,,,,,
,2025-02-11 05:13:31.219171,0.13424913585186005,0.0006606918177567422,0.13424913585186005,499.0,4.0,,,,,,,,,
,2025-02-11 05:13:31.814873,,,,,4.0,0.23022770881652832,0.0010270364582538605,0.23022770881652832,0.07813146710395813,0.0003164424269925803,0.07813146710395813,,,
,2025-02-11 05:13:31.825608,,,,,4.0,,,,,,,0.17193229496479034,0.0025597873609513044,0.17193229496479034
0.025,2025-02-11 05:14:46.625131,,,,,,,,,,,,,,
,2025-02-11 05:14:46.922804,0.16179180145263672,0.0010146308923140168,0.16179180145263672,549.0,5.0,,,,,,,,,
0.025,2025-02-11 05:15:01.681533,,,,,,,,,,,,,,
,2025-02-11 05:15:03.528820,0.06808224320411682,0.00023324596986640245,0.06808224320411682,599.0,5.0,,,,,,,,,
,2025-02-11 05:15:04.108182,,,,,5.0,0.15600301325321198,0.0006161511992104352,0.15600301325321198,0.23027010262012482,0.001795140909962356,0.23027010262012482,,,
,2025-02-11 05:15:04.119732,,,,,5.0,,,,,,,0.19222544133663177,0.003131045727059245,0.19222544133663177
0.025,2025-02-11 05:15:18.706883,,,,,,,,,,,,,,
,2025-02-11 05:15:19.001358,0.2499195635318756,0.0016641218680888414,0.2499195635318756,649.0,6.0,,,,,,,,,
0.025,2025-02-11 05:15:33.843490,,,,,,,,,,,,,,
,2025-02-11 05:15:34.892827,0.07398124784231186,0.0002522919967304915,0.07398124784231186,699.0,6.0,,,,,,,,,
,2025-02-11 05:15:35.465512,,,,,6.0,0.3245967924594879,0.004130518529564142,0.3245967924594879,0.044365543872117996,0.00015742586401756853,0.044365543872117996,,,
,2025-02-11 05:15:35.477213,,,,,6.0,,,,,,,0.20492848753929138,0.006680344697088003,0.20492848753929138
0.025,2025-02-11 05:15:50.208709,,,,,,,,,,,,,,
,2025-02-11 05:15:50.508284,0.2654293179512024,0.0037685667630285025,0.2654293179512024,749.0,7.0,,,,,,,,,
0.025,2025-02-11 05:16:05.356719,,,,,,,,,,,,,,
,2025-02-11 05:16:07.174379,0.09917058795690536,0.00039594699046574533,0.09917058795690536,799.0,7.0,,,,,,,,,
,2025-02-11 05:16:07.746965,,,,,7.0,0.010690862312912941,5.067094389232807e-05,0.010690862312912941,0.4004359841346741,0.004123353864997625,0.4004359841346741,,,
,2025-02-11 05:16:07.758403,,,,,7.0,,,,,,,0.18993963301181793,0.002772887470200658,0.18993963301181793
0.025,2025-02-11 05:16:22.362589,,,,,,,,,,,,,,
,2025-02-11 05:16:22.659799,0.054582517594099045,0.00019192391482647508,0.054582517594099045,849.0,8.0,,,,,,,,,
0.025,2025-02-11 05:16:37.508823,,,,,,,,,,,,,,
,2025-02-11 05:16:38.567602,0.16976337134838104,0.0007076511392369866,0.16976337134838104,899.0,8.0,,,,,,,,,
,2025-02-11 05:16:39.131641,,,,,8.0,0.07240360975265503,0.0002476173103787005,0.07240360975265503,0.2753521502017975,0.0012479886645451188,0.2753521502017975,,,
,2025-02-11 05:16:39.143322,,,,,8.0,,,,,,,0.18610045313835144,0.0027763773687183857,0.18610045313835144
0.025,2025-02-11 05:16:53.857696,,,,,,,,,,,,,,
,2025-02-11 05:16:54.151054,0.2503087520599365,0.0027948368806391954,0.2503087520599365,949.0,9.0,,,,,,,,,
0.025,2025-02-11 05:17:08.997123,,,,,,,,,,,,,,
,2025-02-11 05:17:10.059326,0.24208076298236847,0.0010269515914842486,0.24208076298236847,999.0,9.0,,,,,,,,,
,2025-02-11 05:17:10.626032,,,,,9.0,0.17400424182415009,0.0009641996584832668,0.17400424182415009,0.36183178424835205,0.0029289398808032274,0.36183178424835205,,,
,2025-02-11 05:17:10.637783,,,,,9.0,,,,,,,0.17876994609832764,0.002569610485807061,0.17876994609832764
0.025,2025-02-11 05:18:07.694612,,,,,,,,,,,,,,
,2025-02-11 05:18:07.972730,0.23492662608623505,0.019418666139245033,0.23492662608623505,1049.0,10.0,,,,,,,,,
0.025,2025-02-11 05:18:22.781826,,,,,,,,,,,,,,
,2025-02-11 05:18:23.833124,0.08669012039899826,0.000312286545522511,0.08669012039899826,1099.0,10.0,,,,,,,,,
,2025-02-11 05:18:24.401464,,,,,10.0,0.12237764894962311,0.0005169564974494278,0.12237764894962311,0.38336697220802307,0.09689988940954208,0.38336697220802307,,,
,2025-02-11 05:18:24.413386,,,,,10.0,,,,,,,0.18581674993038177,0.00503740506246686,0.18581674993038177
0.025,2025-02-11 05:18:39.269885,,,,,,,,,,,,,,
,2025-02-11 05:18:39.564465,0.26113057136535645,0.001331237144768238,0.26113057136535645,1149.0,11.0,,,,,,,,,
0.025,2025-02-11 05:18:54.298378,,,,,,,,,,,,,,
,2025-02-11 05:18:55.346593,0.2002924233675003,0.0013776292325928807,0.2002924233675003,1199.0,11.0,,,,,,,,,
,2025-02-11 05:18:55.911332,,,,,11.0,0.11590929329395294,0.000416524097090587,0.11590929329395294,0.12122654914855957,0.00040768369217403233,0.12122654914855957,,,
,2025-02-11 05:18:55.922753,,,,,11.0,,,,,,,0.18588489294052124,0.0020188582129776478,0.18588489294052124
0.025,2025-02-11 05:19:10.806885,,,,,,,,,,,,,,
,2025-02-11 05:19:11.101293,0.07661022245883942,0.0002901179832406342,0.07661022245883942,1249.0,12.0,,,,,,,,,
0.025,2025-02-11 05:19:25.952421,,,,,,,,,,,,,,
,2025-02-11 05:19:27.002295,0.2575129568576813,0.001784229651093483,0.2575129568576813,1299.0,12.0,,,,,,,,,
,2025-02-11 05:19:27.567577,,,,,12.0,0.05659769847989082,0.00019584514666348696,0.05659769847989082,0.10293054580688477,0.00036897393874824047,0.10293054580688477,,,
,2025-02-11 05:19:27.579700,,,,,12.0,,,,,,,0.19172967970371246,0.0026604044251143932,0.19172967970371246
0.025,2025-02-11 05:19:42.482287,,,,,,,,,,,,,,
,2025-02-11 05:19:42.801952,0.3629140555858612,0.0021626984234899282,0.3629140555858612,1349.0,13.0,,,,,,,,,
0.025,2025-02-11 05:19:57.611271,,,,,,,,,,,,,,
,2025-02-11 05:19:58.674653,0.05993394926190376,0.00021560644381679595,0.05993394926190376,1399.0,13.0,,,,,,,,,
,2025-02-11 05:19:59.245016,,,,,13.0,0.2444779872894287,0.0012894453248009086,0.2444779872894287,0.04013431817293167,0.0001426285452907905,0.04013431817293167,,,
,2025-02-11 05:19:59.266870,,,,,13.0,,,,,,,0.18711106479167938,0.0035435373429208994,0.18711106479167938
0.025,2025-02-11 05:20:13.985229,,,,,,,,,,,,,,
,2025-02-11 05:20:14.282082,0.07694453746080399,0.0002756716276053339,0.07694453746080399,1449.0,14.0,,,,,,,,,
0.025,2025-02-11 05:20:29.180788,,,,,,,,,,,,,,
,2025-02-11 05:20:30.997499,0.06928730010986328,0.0002410120068816468,0.06928730010986328,1499.0,14.0,,,,,,,,,
,2025-02-11 05:20:31.570192,,,,,14.0,0.242246612906456,0.001127583091147244,0.242246612906456,0.3090521991252899,0.00529812416061759,0.3090521991252899,,,
,2025-02-11 05:20:31.582453,,,,,14.0,,,,,,,0.18945635855197906,0.0018341470276936889,0.18945635855197906
0.025,2025-02-11 05:21:28.953550,,,,,,,,,,,,,,
,2025-02-11 05:21:29.264875,0.15703295171260834,0.0007006164523772895,0.15703295171260834,1549.0,15.0,,,,,,,,,
0.025,2025-02-11 05:21:44.106020,,,,,,,,,,,,,,
,2025-02-11 05:21:45.168957,0.35189446806907654,0.0039560976438224316,0.35189446806907654,1599.0,15.0,,,,,,,,,
,2025-02-11 05:21:45.750764,,,,,15.0,0.26478657126426697,0.0013058612821623683,0.26478657126426697,0.27300363779067993,0.0019990832079201937,0.27300363779067993,,,
,2025-02-11 05:21:45.762898,,,,,15.0,,,,,,,0.20578934252262115,0.006602538749575615,0.20578934252262115
0.025,2025-02-11 05:22:00.691215,,,,,,,,,,,,,,
,2025-02-11 05:22:00.981938,0.3245773911476135,0.0046335309743881226,0.3245773911476135,1649.0,16.0,,,,,,,,,
0.025,2025-02-11 05:22:15.833493,,,,,,,,,,,,,,
,2025-02-11 05:22:16.898419,0.15435747802257538,0.0009679780341684818,0.15435747802257538,1699.0,16.0,,,,,,,,,
,2025-02-11 05:22:17.470342,,,,,16.0,0.0865178033709526,0.0003148994001094252,0.0865178033709526,0.10884055495262146,0.0003855768300127238,0.10884055495262146,,,
,2025-02-11 05:22:17.483591,,,,,16.0,,,,,,,0.18410685658454895,0.0024826654698699713,0.18410685658454895
0.025,2025-02-11 05:22:32.606384,,,,,,,,,,,,,,
,2025-02-11 05:22:32.899304,0.10214411467313766,0.00036241114139556885,0.10214411467313766,1749.0,17.0,,,,,,,,,
0.025,2025-02-11 05:22:47.595053,,,,,,,,,,,,,,
,2025-02-11 05:22:48.652996,0.18165376782417297,0.0007909626001492143,0.18165376782417297,1799.0,17.0,,,,,,,,,
,2025-02-11 05:22:49.230002,,,,,17.0,0.24745753407478333,0.005294004920870066,0.24745753407478333,0.08398846536874771,0.00034235426574014127,0.08398846536874771,,,
,2025-02-11 05:22:49.242478,,,,,17.0,,,,,,,0.1896626204252243,0.003642003983259201,0.1896626204252243
0.025,2025-02-11 05:23:04.200197,,,,,,,,,,,,,,
,2025-02-11 05:23:04.494798,0.2443576604127884,0.005021159071475267,0.2443576604127884,1849.0,18.0,,,,,,,,,
0.025,2025-02-11 05:23:19.375062,,,,,,,,,,,,,,
,2025-02-11 05:23:20.428512,0.016855739057064056,7.243725121952593e-05,0.016855739057064056,1899.0,18.0,,,,,,,,,
,2025-02-11 05:23:21.009531,,,,,18.0,0.12896965444087982,0.0005104512092657387,0.12896965444087982,0.09317710995674133,0.0003603018121793866,0.09317710995674133,,,
,2025-02-11 05:23:21.022599,,,,,18.0,,,,,,,0.17919912934303284,0.0044242520816624165,0.17919912934303284
0.025,2025-02-11 05:23:35.879836,,,,,,,,,,,,,,
,2025-02-11 05:23:36.176347,0.23650050163269043,0.0010300172725692391,0.23650050163269043,1949.0,19.0,,,,,,,,,
0.025,2025-02-11 05:23:50.940804,,,,,,,,,,,,,,
,2025-02-11 05:23:52.009355,0.08168631047010422,0.0002785244432743639,0.08168631047010422,1999.0,19.0,,,,,,,,,
,2025-02-11 05:23:52.581563,,,,,19.0,0.07244432717561722,0.0002624368935357779,0.07244432717561722,0.07080283015966415,0.00024171579570975155,0.07080283015966415,,,
,2025-02-11 05:23:52.594463,,,,,19.0,,,,,,,0.19431735575199127,0.002018315950408578,0.19431735575199127
0.025,2025-02-11 05:24:50.054176,,,,,,,,,,,,,,
,2025-02-11 05:24:50.348210,0.24061761796474457,0.0021429278422147036,0.24061761796474457,2049.0,20.0,,,,,,,,,
0.025,2025-02-11 05:25:05.404816,,,,,,,,,,,,,,
,2025-02-11 05:25:06.459050,0.3775618076324463,0.007542406674474478,0.3775618076324463,2099.0,20.0,,,,,,,,,
,2025-02-11 05:25:07.020331,,,,,20.0,0.21632719039916992,0.0012122590560466051,0.21632719039916992,0.15653447806835175,0.0007816051947884262,0.15653447806835175,,,
,2025-02-11 05:25:07.033772,,,,,20.0,,,,,,,0.18426460027694702,0.0018726621055975556,0.18426460027694702
0.025,2025-02-11 05:25:21.893569,,,,,,,,,,,,,,
,2025-02-11 05:25:22.187510,0.2235656976699829,0.0010112581076100469,0.2235656976699829,2149.0,21.0,,,,,,,,,
0.025,2025-02-11 05:25:36.965856,,,,,,,,,,,,,,
